state,managing_agency,rights_type,state_enabling_act,OBJECTID,SURFACE_TR,,state_reported_notes,,
WA,Department of Natural Resources,Surface,"241 Stat. 676-684, esp. 679-81 (1889)",17995,1,State Forest Transfer,,,
WA,Department of Natural Resources,Surface,"242 Stat. 676-684, esp. 679-81 (1889)",8352,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Surface,"243 Stat. 676-684, esp. 679-81 (1889)",9786,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Surface,"244 Stat. 676-684, esp. 679-81 (1889)",13832,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Surface,"245 Stat. 676-684, esp. 679-81 (1889)",5578,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Surface,"246 Stat. 676-684, esp. 679-81 (1889)",18222,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Surface,"247 Stat. 676-684, esp. 679-81 (1889)",18325,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Surface,"248 Stat. 676-684, esp. 679-81 (1889)",18576,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Surface,"249 Stat. 676-684, esp. 679-81 (1889)",11784,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Surface,"250 Stat. 676-684, esp. 679-81 (1889)",13005,3,Common School and Indemnity,EDIT SPLIT 116676,,
WA,Department of Natural Resources,Surface,"251 Stat. 676-684, esp. 679-81 (1889)",13927,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Surface,"252 Stat. 676-684, esp. 679-81 (1889)",14126,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Surface,"253 Stat. 676-684, esp. 679-81 (1889)",14945,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Surface,"254 Stat. 676-684, esp. 679-81 (1889)",15108,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Surface,"255 Stat. 676-684, esp. 679-81 (1889)",15629,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Surface,"256 Stat. 676-684, esp. 679-81 (1889)",15799,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Surface,"257 Stat. 676-684, esp. 679-81 (1889)",16005,3,Common School and Indemnity,EDIT SPLIT 116676,,
WA,Department of Natural Resources,Surface,"258 Stat. 676-684, esp. 679-81 (1889)",16075,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Surface,"259 Stat. 676-684, esp. 679-81 (1889)",16088,3,Common School and Indemnity,EDIT CORRECTION MERGE PCL 116673,,
